72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n rhoa err
45 72 54 63 49237.84  0.01
45 69 53 61 56224.26  0.01
45 66 52 59 59617.14  0.01
45 63 51 57 67991.04  0.01
45 60 50 55 74596.53  0.01
45 57 49 53 67988.49  0.01
45 54 48 51 60097.46  0.01
45 51 47 49 51482.94  0.01
46 70 54 62 53759.44  0.01
46 67 53 60 60429.75  0.01
46 64 52 58 70116.23  0.01
46 61 51 56 72889.89  0.01
46 58 50 54 74077.60  0.01
46 55 49 52 63686.96  0.01
46 52 48 50 46189.02  0.01
46 49 47 48 47643.92  0.01
47 71 55 63 53494.21  0.01
47 68 54 61 58271.46  0.01
47 65 53 59 66388.62  0.01
47 62 52 57 73549.83  0.01
47 59 51 55 73739.94  0.01
47 56 50 53 65831.54  0.01
47 53 49 51 54267.01  0.01
47 50 48 49 38846.62  0.01
48 72 56 64 51392.83  0.01
48 69 55 62 58046.56  0.01
48 66 54 60 62366.25  0.01
48 63 53 58 74726.68  0.01
48 60 52 56 77712.56  0.01
48 57 51 54 71451.71  0.01
48 54 50 52 57607.54  0.01
48 51 49 50 38562.70  0.01
49 70 56 63 56085.21  0.01
49 67 55 61 62335.04  0.01
49 64 54 59 69969.71  0.01
49 61 53 57 76699.61  0.01
49 58 52 55 69444.77  0.01
49 55 51 53 55489.27  0.01
49 52 50 51 46523.95  0.01
50 71 57 64 53179.59  0.01
